;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120
Mangystau region;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4.83;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;2.07;-;-;-;0.62;-;-;1.78;0.3;-;0.3;0.6;-;-;-;-;-;-;0.6;0.9;3.28;1.66;0.58;8.84;-;-;9;2.8;5.6;;;7.2;2.32;0.28;3.93;1.95;4.78;0.35;3.36;5.8;2.1;0.28;2.8;2.8;2.8;2.8;0.63;2.8;2.8;1.47;1.12;1.47;13.42;1.12;1.12;1.7;1.12;1.12;1.12;1.12;1.96;1.12;1.4;1.12;1.4;1.42;1.12;2.62;1.12;1.97;1.12;1.88;1.12;1.12;1.12;2.8;1.68;1.68;151.68;1.68;1.68;1.68;10.14;1.68;2.28;2.08
South Kazakhstan region;434.41;519.56;344.48;626.53;331.32;464.68;145.87;221.28;254.04;312.79;177.3;863.13;392.29;233.13;354.3;398;226.54;619.38;240.88;539.7;338.12;286.87;579.32;1022.92;372.59;968.05;1500.42;993.48;377.09;1606.58;775.97;521.21;895.63;909.82;1044.65;2417.82;355.56;249.32;1663.52;2122.05;1381.2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Pavlodar region;402.8;408.76;424.88;487.96;440.03;518.17;770.65;842.02;776.12;345.44;282.37;790.16;339.93;269.26;499.2;576.61;368.66;871.09;646.83;508.52;973.35;232.75;631.38;638.59;338.93;157.95;158.36;388.06;254.5;416.09;282.37;289.29;345.06;773.57;824.63;992.74;393.47;265.74;391.62;201.14;433.72;753.74;294.93;325.06;786.56;775.64;733.53;1622.78;211.95;441.29;533.58;321.87;706.05;534.05;881.45;496.49;355.15;293.76;1059.62;1544.28;355.19;243.26;612.79;277.53;578.97;456.65;1014.16;716.05;636.9;885.98;818.73;2188.29;398.5;403.99;870.2;923.39;740.49;607.08;959.6;917.49;731.16;545.36;887.62;1810.01;271.89;2370.49;962.21;1007.96;517.81;687.08;678.43;598.33;883.29;587.76;740.83;1700.91;549.21;660.73;915.12;768.14;869.2;1089.89;1072.2;1236.93;2337.08;996.25;1918.87;3755.36;1112.22;961.47;409.36;983.53;1019.96;1508.75;2012.29;2007.43;1848.26;1064.54;1310.19;1556.47
North Kazakhstan  region;218.07;303.24;267.73;280.28;341.49;353.54;372.24;234.7;430.49;387.3;358.04;1011.06;341.98;370.56;416.25;504.44;383.02;499.68;480.27;324.19;468.37;297.97;527.3;884.3;341.87;316.37;719.58;414.61;460.09;427.32;411.27;389.62;635.97;424.33;366.3;912.52;494.92;471.05;470.98;483.59;432.93;532.49;538.69;414.53;831.98;723.19;564.36;626.21;1012.05;468.35;588.4;503.16;541.03;319.02;557.32;381.62;764.64;686.16;592.07;480.3;558.71;615.82;529.01;454.54;634.85;555.75;527.89;465.84;478.24;533.33;538.29;889;591.26;550.55;507.42;459.87;528.94;1418.29;479.77;596.23;648.17;504.34;664.41;843.92;768.53;560.8;442.98;679.06;602.34;754.7;672.36;933.81;697.62;574.1;527.77;588.54;984.58;714.7;491.86;637.19;805.11;558.52;395.9;630.21;845.73;730.06;711.61;847.3;596.12;989.29;642.24;554.03;601.03;641.57;547.02;781.65;846.54;888.54;667.25;620.08
East kazakhstan region;159.16;156.45;148.85;163.8;144.58;239.64;114.96;104.63;122.44;104.61;206.82;219.19;204.36;177.03;172.56;211.78;141.65;134.04;141.97;91.93;283.74;147.68;217.08;273.54;203.81;128.84;199.39;186.04;184.49;128.07;117.95;111.19;172.05;221.54;284.03;227.43;248.21;159.57;215.56;245.75;302.96;199.41;138.97;164.26;571.97;174.7;284.69;313.99;163.81;237.89;266.05;184.69;199.97;199.44;89.93;208.9;120.67;139.32;113.26;212.78;151.44;168.09;160.47;193.65;198.09;392.1;281.28;240.62;327.88;194.5;303.64;446.17;208.81;174.93;289.09;194.13;216.21;242.64;238.61;214.74;213.25;225.47;214.58;364.48;333.66;165.1;164.16;254.36;166.72;87.6;112.23;152.53;164.24;110.24;182.39;146.32;142.15;153.67;132.31;280.38;288.23;180.75;102.82;101.26;136.41;124.06;119.46;226.39;307.86;178.11;104.42;97.76;255.84;135.62;90.49;92.79;157.31;135.47;105.11;140.81
Astana city;2.6;18.7;6.5;11.8;11.4;12.2;1.7;2.77;2.63;3;3.5;2.9;2.5;1.74;2.01;2.47;2.67;0.85;1.22;;5.3;;;1.4;2.5;;2.4;3.84;1.79;2.92;3.33;4.96;8.33;7.56;7.99;3.95;5.07;0.51;1.81;0.8;;3.39;1.83;2.44;1.27;1.14;2.3;0.84;1.24;1.79;0.62;0.96;0.59;-;-;-;-;-;-;2.5;-;;0.12;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;1.17;1.1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Shymkent city;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;905.63;583.22;5.12;67.68;3.24;21.83;50.41;12.76;5.55;7.6;1205.5;1215.1;1555.6;473.18;519.6;128.42;310.47;307.5;190.59;8.63;7.76;6.61;746.92;1114.42;1810.28;350.53;571.21;165.95;551.41;243.51;185.68;64.77;117.88;130.78;537.19;1187.86;2161.93;405.63;462.42;365.87;410.02;404.36;627.58;101;255.3;213.45;353.3;55.9;;5.1;0.61;35.3;4.44;4.14;4.84;57.54;3.72;140.87;103.29;5.55;23.4;46.87;23.69;76.4;1283.7;180.08;53.02;174.25;73.24;119.83;104.42;6.12;16.03;9.76;12.12;12.32;159.15;245.15;115.84
Turkestan region;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2793.3;1730.94;1152.82;566.87;455.01;753.18;983.43;92.25;95.34;1414.18;241.98;411.56;3765.31;636.73;206.89;578.93;4854.42;1504.57;2283.82;210.03;112.97;1923.87;247.72;133.29;3484.21;301.36;1052.79;1152.52;4039.13;2950.09;1758.42;445.61;608.19;400.46;1158.7;955.62;688.12;519.62;5463.34;1411.73;3026.9;2180.12;3163.36;586.33;818.11;1473.6;1226.81;1090.08;1092.42;1065.41;4968.52;2037.66;3958.6;1838.15;2672.82;646.89;627.55;849.66;3206.97;1558.11;1228.01;1290.43;5666.1;4217.24;1004.76;936.44;3805.03;601.37;5917.21;1366.07;4009.21;1575.56;10529.94;1593.86;4331.39;8049.47;2910.8;2821.28;13033.74
Zhetisu region;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1219.62;30.89;32.75;42.59;402.49;197.07;241;114.84;96.19;217.34;55.09;71.81;1058.86;47.74;52.63;55.17;58.38;181.77;278.19;102;117.66;74.65;43.77;249.15;687.32;1116.07;54.63;171.35;113.1;126.03;741.76
Ulytau region;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;;;;;46.34;59.24;69.13;4.65;2.95;30.2;77.97;0.85;0.84;0.75;1.25;1.5;48.3;62.02;78.1;2.25;2.5;4.8;3;3.25;3.75;4;4;4.25;1;1.25;1.5
Abay region;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40.64;53.14;199.93;77.29;225.89;138.75;100.86;21.68;21.91;76.61;56.39;105.11;26.71;23.33;60.59;55.31;100.43;102.55;112.53;108.73;155.23;79.87;73.16;19.51;61.64;50.54;62.69;98.45;73.12;59.06;98.7
